"","datetime","date","do","month_yr"
"19158",2019-03-10 10:00:00,2019-03-10,10.1,"2019-03"
"19159",2019-03-10 11:00:00,2019-03-10,10.1,"2019-03"
"19160",2019-03-10 12:00:00,2019-03-10,10.2,"2019-03"
"19161",2019-03-10 13:00:00,2019-03-10,10.2,"2019-03"
"19162",NA,NA,NA,NA
"19163",2019-03-10 15:00:00,2019-03-10,10,"2019-03"
"19164",2019-03-10 16:00:00,2019-03-10,10.15,"2019-03"
"19165",2019-03-10 17:00:00,2019-03-10,10.2,"2019-03"
"19166",2019-03-10 18:00:00,2019-03-10,10.2,"2019-03"
"19167",2019-03-10 19:00:00,2019-03-10,10.2,"2019-03"
"19168",NA,NA,NA,NA
"19169",2019-03-10 21:00:00,2019-03-10,10.2,"2019-03"
"19170",2019-03-10 22:00:00,2019-03-10,10.2,"2019-03"
"19171",2019-03-10 23:00:00,2019-03-10,10.2,"2019-03"
"19172",NA,NA,NA,NA
"19173",2019-03-11 01:00:00,2019-03-11,10.1,"2019-03"
"19174",NA,NA,NA,NA
"19175",2019-03-11 03:00:00,2019-03-11,9.4,"2019-03"
"19176",2019-03-11 04:00:00,2019-03-11,9.85,"2019-03"
"19177",2019-03-11 05:00:00,2019-03-11,10,"2019-03"
"19178",2019-03-11 06:00:00,2019-03-11,10,"2019-03"
"19179",2019-03-11 07:00:00,2019-03-11,10,"2019-03"
"19180",2019-03-11 08:00:00,2019-03-11,10,"2019-03"
"19181",2019-03-11 09:00:00,2019-03-11,9.9,"2019-03"
"19182",2019-03-11 10:00:00,2019-03-11,9.95,"2019-03"
"19183",2019-03-11 11:00:00,2019-03-11,10,"2019-03"
"19184",2019-03-11 12:00:00,2019-03-11,10.1,"2019-03"
"19185",2019-03-11 13:00:00,2019-03-11,9.95,"2019-03"
"19186",2019-03-11 14:00:00,2019-03-11,9.9,"2019-03"
"19187",2019-03-11 15:00:00,2019-03-11,9.9,"2019-03"
"19188",2019-03-11 16:00:00,2019-03-11,9.9,"2019-03"
"19189",2019-03-11 17:00:00,2019-03-11,9.9,"2019-03"
"19190",2019-03-11 18:00:00,2019-03-11,9.9,"2019-03"
"19191",2019-03-11 19:00:00,2019-03-11,9.9,"2019-03"
"19192",2019-03-11 20:00:00,2019-03-11,9.9,"2019-03"
"19193",2019-03-11 21:00:00,2019-03-11,9.9,"2019-03"
"19194",2019-03-11 22:00:00,2019-03-11,9.9,"2019-03"
"19195",2019-03-11 23:00:00,2019-03-11,9.9,"2019-03"
"19196",2019-03-12 00:00:00,2019-03-12,9.9,"2019-03"
"19197",2019-03-12 01:00:00,2019-03-12,9.8,"2019-03"
"19198",2019-03-12 02:00:00,2019-03-12,9.7,"2019-03"
"19199",2019-03-12 03:00:00,2019-03-12,9.7,"2019-03"
"19200",2019-03-12 04:00:00,2019-03-12,9.6,"2019-03"
"19201",2019-03-12 05:00:00,2019-03-12,9.5,"2019-03"
"19202",2019-03-12 06:00:00,2019-03-12,9.6,"2019-03"
"19203",2019-03-12 07:00:00,2019-03-12,9.8,"2019-03"
"19204",2019-03-12 08:00:00,2019-03-12,9.8,"2019-03"
"19205",2019-03-12 09:00:00,2019-03-12,9.8,"2019-03"
"19206",2019-03-12 10:00:00,2019-03-12,9.7,"2019-03"
"19207",2019-03-12 11:00:00,2019-03-12,9.8,"2019-03"
"19208",2019-03-12 12:00:00,2019-03-12,9.85,"2019-03"
"19209",2019-03-12 13:00:00,2019-03-12,9.9,"2019-03"
"19210",2019-03-12 14:00:00,2019-03-12,9.8,"2019-03"
"19211",2019-03-12 15:00:00,2019-03-12,9.7,"2019-03"
"19212",2019-03-12 16:00:00,2019-03-12,9.6,"2019-03"
"19213",2019-03-12 17:00:00,2019-03-12,9.4,"2019-03"
"19214",2019-03-12 18:00:00,2019-03-12,9.4,"2019-03"
"19215",2019-03-12 19:00:00,2019-03-12,9.5,"2019-03"
"19216",2019-03-12 20:00:00,2019-03-12,9.5,"2019-03"
"19217",2019-03-12 21:00:00,2019-03-12,9.7,"2019-03"
"19218",2019-03-12 22:00:00,2019-03-12,9.65,"2019-03"
"19219",2019-03-12 23:00:00,2019-03-12,9.7,"2019-03"
"19220",2019-03-13 00:00:00,2019-03-13,9.9,"2019-03"
"19221",2019-03-13 01:00:00,2019-03-13,9.8,"2019-03"
"19222",2019-03-13 02:00:00,2019-03-13,9.9,"2019-03"
"19223",2019-03-13 03:00:00,2019-03-13,9.9,"2019-03"
"19224",2019-03-13 04:00:00,2019-03-13,10,"2019-03"
"19225",2019-03-13 05:00:00,2019-03-13,10,"2019-03"
"19226",2019-03-13 06:00:00,2019-03-13,9.9,"2019-03"
"19227",2019-03-13 07:00:00,2019-03-13,9.8,"2019-03"
"19228",2019-03-13 08:00:00,2019-03-13,10.1,"2019-03"
"19229",2019-03-13 09:00:00,2019-03-13,10.1,"2019-03"
"19230",2019-03-13 10:00:00,2019-03-13,10,"2019-03"
