"","thalli","date","run","start_time","end_time","tank","treatment","hach_start_unit","hach_end_unit","hach_period","unit_ph_hach","unit_temp_hach","unit_sal_hach","unit_do_hach","par","thalli_weight","discrete_collection_time","header_hach_time","header_pH_hach","header_temp_hach","header_sal_hach","header_do_hach","repro_apices","veg_apices","wwr","wwv","wwrecp","concept","oo_in_1","oo_in_2","oo_in_3","dwr","dwv","dwrecp","oo_disc_1","oo_disc_2","oo_disc_3","oo_disc_4","ph_probe_location","hobo_logger_location","notes","unit_ph_corrected","avg_disc_oo","unit_avg_sal","unit_avg_ph_c","unit_avg_do","unit_avg_temp"
"56","E3","11/12/2019",1,"11:23","16:00","E",3,"14:05","14:41","mid",8.11,17,30.6,9.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",8.08974358974359,NA,30.5666666666667,8.11111111111111,9.30333333333333,16.8
"57","E3","11/12/2019",1,"11:23","16:00","E",3,"12:39","13:12","start",8.16,16.4,30.5,9.35,733,31.416,NA,NA,NA,NA,NA,NA,38,0,27.011,3.222,2.116,576,36,20,13,3.745,0.915,0.305,122,231,257,283,"","","",8.15384615384615,223.25,30.5666666666667,8.11111111111111,9.30333333333333,16.8
"58","E4","11/12/2019",1,"11:23","16:00","E",4,"14:05","14:41","mid",7.9,17.5,30.6,10.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.82051282051282,NA,30.5666666666667,7.78632478632479,10.0233333333333,17.2333333333333
"59","E4","11/12/2019",1,"11:23","16:00","E",4,"12:39","13:12","start",7.99,16.8,30.5,10.2,743,29.624,NA,NA,NA,NA,NA,NA,35,7,20.874,8.603,1.077,228,18,7,10,2.805,2.163,0.136,2,2,3,5,"","","",7.93589743589744,3,30.5666666666667,7.78632478632479,10.0233333333333,17.2333333333333
"60","E4","11/12/2019",1,"11:23","16:00","E",4,"15:29","15:55","end",7.73,17.4,30.6,9.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.6025641025641,NA,30.5666666666667,7.78632478632479,10.0233333333333,17.2333333333333
"61","A1","11/14/2019",2,"10:20","13:34","A",1,"11:20","12:00","start",8.09,14.5,27.6,10.78,752,31.645,"11:01","10:44",7.98,14.7,26.4,8.78,51,2,25.268,3.829,0.529,290,14,33,8,3.591,1.125,0.091,321,432,758,NA,"header tank 1=red probe","probe #1=B2","pH probe in header tank #4 fell in around 10:45am",8.06410256410256,503.666666666667,27,8.0448717948718,10.78,14.6
"62","A1","11/14/2019",2,"10:20","13:34","A",1,"12:55","13:15","end",8.06,14.7,26.4,NA,NA,NA,NA,"14:35",8.1,15,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",8.02564102564103,NA,27,8.0448717948718,10.78,14.6
"63","A1","11/14/2019",2,"10:20","13:34","A",1,NA,NA,"mid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Hach DO reader stopped working midway through the experiment",NA,NA,27,8.0448717948718,10.78,14.6
"64","A2","11/14/2019",2,"10:20","13:34","A",2,"12:55","13:15","end",7.99,14.8,26.4,NA,NA,NA,NA,"14:35",7.34,15,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.93589743589744,NA,27,7.67307692307692,10.93,14.65
"65","A2","11/14/2019",2,"10:20","13:34","A",2,NA,NA,"mid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,27,7.67307692307692,10.93,14.65
